,precision,recall,f1-score,support
WALKING,0.9425287356321839,0.9919354838709677,0.9666011787819253,496.0
WALKING_UPSTAIRS,0.9410526315789474,0.9490445859872612,0.945031712473573,471.0
WALKING_DOWNSTAIRS,0.9846547314578005,0.9166666666666666,0.9494451294697904,420.0
SITTING,0.9624724061810155,0.8879837067209776,0.923728813559322,491.0
STANDING,0.8773424190800682,0.9680451127819549,0.9204647006255585,532.0
LAYING,0.9980732177263969,0.9646182495344506,0.9810606060606061,537.0
accuracy,0.9477434679334917,0.9477434679334917,0.9477434679334917,0.9477434679334917
macro avg,0.9510206902760686,0.9463823009270466,0.9477220234951292,2947.0
weighted avg,0.949973011830361,0.9477434679334917,0.9478719678565217,2947.0
