Model,Accuracy,F1 Score,Training Time (s)
Random Forest,0.9280624363759755,0.9279570405137145,7.18402099609375
SVM,0.9521547336274178,0.9520676027761258,4.269322633743286
Neural Network,0.9477434679334917,0.9478719678565217,5.075615882873535
XGBoost,0.9382422802850356,0.9380000669618073,3.7367937564849854
