,precision,recall,f1-score,support
WALKING,0.9601593625498008,0.9717741935483871,0.9659318637274549,496.0
WALKING_UPSTAIRS,0.9287169042769857,0.9681528662420382,0.9480249480249481,471.0
WALKING_DOWNSTAIRS,0.9772151898734177,0.919047619047619,0.947239263803681,420.0
SITTING,0.9384288747346072,0.90020366598778,0.918918918918919,491.0
STANDING,0.9162112932604736,0.9454887218045113,0.9306197964847364,532.0
LAYING,0.9962894248608535,1.0,0.9981412639405205,537.0
accuracy,0.9521547336274178,0.9521547336274178,0.9521547336274178,0.9521547336274178
macro avg,0.9528368415926897,0.9507778444383893,0.9514793424833766,2947.0
weighted avg,0.9525943305549845,0.9521547336274178,0.9520676027761258,2947.0
