,precision,recall,f1-score,support
WALKING,0.936046511627907,0.9737903225806451,0.9545454545454546,496.0
WALKING_UPSTAIRS,0.9245283018867925,0.9363057324840764,0.930379746835443,471.0
WALKING_DOWNSTAIRS,0.9671717171717171,0.9119047619047619,0.9387254901960784,420.0
SITTING,0.9409090909090909,0.8431771894093686,0.8893662728249194,491.0
STANDING,0.8726333907056799,0.9530075187969925,0.9110512129380054,532.0
LAYING,1.0,1.0,1.0,537.0
accuracy,0.9382422802850356,0.9382422802850356,0.9382422802850356,0.9382422802850356
macro avg,0.9402148353835312,0.9363642541959741,0.9373446962233167,2947.0
weighted avg,0.9396577362266805,0.9382422802850356,0.9380000669618073,2947.0
